,word,totalValue,positive,negative
0,wares,0.014476371929049492,0.03594302013516426,0.02146664820611477
1,uva,-0.014726115390658379,-0.021235713735222816,-0.006509598810225725
2,entertaining,0.09652107208967209,0.14462193846702576,0.04810086637735367
3,belies,-0.003666199743747711,0.05497865006327629,0.058644849807024
4,calculates,-0.022609759122133255,-0.018289146944880486,0.004320611711591482
5,packaging,0.03874776512384415,0.024664608761668205,-0.014083156362175941
6,pfander,0.0,0.0,0.0
7,resembles,0.013001466169953346,0.03603798523545265,0.023036519065499306
8,istorical,0.0,0.0,0.0
9,oppression,-0.05397335812449455,0.056764569133520126,0.11073792725801468
10,altercations,-0.061518244445323944,-0.015277167782187462,0.04624107852578163
11,williamsdecision,0.0,0.0,0.0
12,denning,-0.013303017243742943,-0.02978995442390442,-0.016486937180161476
13,delegation,0.05601508915424347,0.04256850481033325,-0.013446586206555367
14,combated,-0.04689957574009895,-0.013038243167102337,0.03386133164167404
15,rands,-0.01852301135659218,-0.023995038121938705,-0.00547202629968524
16,conscience,0.00301196426153183,0.10791013389825821,0.10489816963672638
17,subparts,-0.043768510222435,-0.035431165248155594,0.008337345905601978
18,audiences,0.07000593841075897,0.12860232591629028,0.05859639123082161
19,hayburn,0.0,0.0,0.0
20,bradlee,-0.02251327969133854,-0.03433370217680931,-0.011820422485470772
21,opposed,0.017600078135728836,0.07434597611427307,0.056745897978544235
22,preservative,-0.017505478113889694,-0.00646773399785161,0.011037744581699371
23,manette,-0.017869994044303894,-0.02794218249619007,-0.010072187520563602
24,moles,-0.021789219230413437,-0.015656163915991783,0.006133055780082941
25,goats,-0.009716534987092018,0.01865081861615181,0.028367353603243828
26,unresponsive,-0.07205110043287277,0.015115611255168915,0.08716671168804169
27,criminality,-0.07376821339130402,0.022618819028139114,0.09638703614473343
28,shells,-0.02697308361530304,-0.010966680012643337,0.016006402671337128
29,denton,0.002825506031513214,-0.04662211239337921,-0.049447618424892426
30,corresponde,0.0,0.0,0.0
31,cours,0.000843266025185585,-0.021409310400485992,-0.022252576425671577
32,cultivat,0.0,0.0,0.0
33,much,0.07079967856407166,0.15801005065441132,0.08721037209033966
34,grice,-0.04847230017185211,-0.046277862042188644,0.0021944399923086166
35,snakelike,-0.03237666189670563,-0.021009592339396477,0.011367070488631725
36,adverted,0.0,0.0,0.0
37,urveyors,0.0,0.0,0.0
38,reuters,0.005450466647744179,-0.004276725463569164,-0.009727192111313343
39,emphasizing,0.06293907016515732,0.11762015521526337,0.05468108505010605
40,nicolae,-0.026948468759655952,-0.031344927847385406,-0.004396459553390741
41,connect,0.048172179609537125,0.04963107407093048,0.001458896091207862
42,rearing,-0.004439041018486023,0.03601101040840149,0.04045005142688751
43,flown,0.0045129721984267235,-0.0012626033276319504,-0.005775575526058674
44,sap,0.01087121944874525,0.018608007580041885,0.007736788131296635
45,proudest,0.02724110707640648,0.06745635718107224,0.040215250104665756
46,complement,0.09128375351428986,0.06864040344953537,-0.022643353790044785
47,remoteness,-0.03817641735076904,0.024548158049583435,0.06272457540035248
48,aquinas,0.007642215583473444,-0.0044898889027535915,-0.012132104486227036
49,tailspin,-0.05950798839330673,-0.001393493846990168,0.05811449512839317
50,graphophone,-0.024843255057930946,-0.04347911849617958,-0.018635863438248634
51,map,0.03255193680524826,0.026722582057118416,-0.005829353351145983
52,misspelled,-0.0692073181271553,-0.028520874679088593,0.04068644344806671
53,bears,0.025175772607326508,0.03431793674826622,0.009142165072262287
54,reconstruct,-0.019353315234184265,0.012032969854772091,0.03138628602027893
55,extinguisher,-0.030977759510278702,-0.01045024860650301,0.020527509972453117
56,adduced,-0.03757721930742264,-0.004467801656574011,0.03310941904783249
57,divorcing,-0.026200316846370697,0.012009687721729279,0.038210004568099976
58,arefully,0.0,0.0,0.0
59,gould,0.0268251970410347,-0.013764754869043827,-0.04058995097875595
60,costello,0.013473784551024437,0.006477609742432833,-0.006996174342930317
61,replete,-0.004749558866024017,0.040052857249975204,0.04480241611599922
62,engage,0.027933679521083832,0.11271272599697113,0.0847790464758873
63,regs,-0.03576122596859932,-0.0280220378190279,0.007739187218248844
64,cleve,-0.05898214131593704,-0.06800197064876556,-0.009019827470183372
65,bathroom,-0.006012905389070511,0.033863410353660583,0.039876315742731094
66,bribing,-0.05150653049349785,-0.0023722995538264513,0.049134232103824615
67,dispossession,-0.060461144894361496,-0.010726290754973888,0.04973485320806503
68,mosques,-0.01586802303791046,0.019671045243740082,0.03553906828165054
69,carden,-0.026123013347387314,-0.037656672298908234,-0.01153365895152092
70,nether,-0.03191307187080383,-0.021456506103277206,0.010456563904881477
71,consignee,-0.06374980509281158,-0.0477590337395668,0.01599077321588993
72,vacuous,-0.03409765288233757,0.04210762307047844,0.07620527595281601
73,copyrights,-0.002823237329721451,0.022749781608581543,0.025573018938302994
74,lexington,0.01456928625702858,-0.024715248495340347,-0.03928453475236893
75,ault,-0.025477347895503044,-0.050442975014448166,-0.024965627118945122
76,observer,0.023609310388565063,0.03718485310673714,0.013575541786849499
77,reenter,-0.04703662917017937,-0.006523038726300001,0.04051358997821808
78,inescapable,-0.044024884700775146,0.04284154623746872,0.08686643093824387
79,whipple,-0.033827897161245346,-0.03342296928167343,0.0004049287235829979
80,barbara,0.04585781693458557,0.011703538708388805,-0.03415427729487419
81,pentothal,-0.0321221761405468,-0.015090585686266422,0.017031589522957802
82,vital,0.05790087953209877,0.09860049188137054,0.040699612349271774
83,plow,-0.006578801199793816,0.013402782380580902,0.019981583580374718
84,kingdomware,0.0,0.0,0.0
