,word,totalValue,positive,negative
0,promulgating,-0.017638152465224266,0.012467138469219208,0.030105290934443474
1,detonator,-0.05233607813715935,-0.03206883743405342,0.020267240703105927
2,tracking,0.01773250475525856,0.03100474365055561,0.01327223889529705
3,horses,0.04215974360704422,0.05684983730316162,0.014690092764794827
4,afterfor,0.0,0.0,0.0
5,meantimenullifying,0.0,0.0,0.0
6,clarence,0.013731125742197037,-0.024021107703447342,-0.03775223344564438
7,texcivapp,0.0,0.0,0.0
8,keegan,0.008683248423039913,0.0084829768165946,-0.00020027116988785565
9,widened,-0.0196274071931839,-0.009294094517827034,0.01033331360667944
10,detentionbecause,0.0,0.0,0.0
11,makesthat,0.0,0.0,0.0
12,nonpregnancyrelated,0.0,0.0,0.0
13,frees,-0.028553089126944542,0.01733185164630413,0.04588494077324867
14,confirmability,0.0,0.0,0.0
15,awarding,0.018005751073360443,0.04025011882185936,0.022244367748498917
16,sixmonth,0.0,0.0,0.0
17,limarzi,0.0,0.0,0.0
18,appealprovided,0.0,0.0,0.0
19,bnp,-0.018632352352142334,-0.016328636556863785,0.0023037162609398365
20,asinof,-0.05609983950853348,-0.06592623889446259,-0.009826400317251682
21,points,0.046440474689006805,0.021327883005142212,-0.025112589821219444
22,telephoned,-0.01730486750602722,0.0020936639048159122,0.019398530945181847
23,itselfjustice,0.0,0.0,0.0
24,deadlinecould,0.0,0.0,0.0
25,hensonv,0.0,0.0,0.0
26,hendricks,0.00485745444893837,-0.022266622632741928,-0.027124077081680298
27,smithto,0.0,0.0,0.0
28,tangentially,-0.038878314197063446,-0.018209798261523247,0.02066851407289505
29,sneaks,-0.04923005402088165,-0.001215378986671567,0.048014674335718155
30,landan,0.0,0.0,0.0
31,knowlton,-0.012279175221920013,-0.028547419235110283,-0.01626824401319027
32,deans,0.0005380674265325069,0.004152744077146053,0.0036146766506135464
33,selfpiercing,0.0,0.0,0.0
34,suppressions,-0.04111644625663757,-0.012616436928510666,0.028500009328126907
35,splash,0.029423866420984268,0.042036935687065125,0.012613068334758282
36,nine,0.038426999002695084,0.032538484781980515,-0.005888514686375856
37,alive,0.05463366582989693,0.10977604985237122,0.05514238402247429
38,circumstantially,-0.04808032885193825,-0.018980078399181366,0.02910025045275688
39,mi,-0.0011213403195142746,-0.029603993520140648,-0.028482653200626373
40,heads,0.030293118208646774,0.03090147115290165,0.0006083523039706051
41,corridors,0.014420882798731327,0.026157047599554062,0.011736164800822735
42,demea,0.0,0.0,0.0
43,raining,-0.03643060475587845,0.02835841476917267,0.06478901952505112
44,griggsprovides,0.0,0.0,0.0
45,freeman,0.04653855413198471,0.006316389888525009,-0.0402221642434597
46,hamlings,0.0,0.0,0.0
47,complainant,-0.061164844781160355,-0.013295602053403854,0.0478692427277565
48,implements,0.014822132885456085,0.020520390942692757,0.005698258522897959
49,lowcost,0.0,0.0,0.0
50,felton,-0.024070465937256813,-0.0430600605905056,-0.018989594653248787
51,weirich,-0.04192006587982178,-0.0537833571434021,-0.011863289400935173
52,reformulate,-0.03298601880669594,-0.01035307627171278,0.022632943466305733
53,contrarythat,0.0,0.0,0.0
