,word,totalValue,positive,negative,count
0,distancia,-0.032057952135801315,-0.0093943290412426,0.022663623094558716,1
1,emerson,0.02922193519771099,-0.018818071112036705,-0.048040006309747696,1
2,pont,-0.009072007611393929,-0.030056731775403023,-0.020984724164009094,4
3,phelps,0.026972733438014984,0.00507322046905756,-0.02189951390028,2
4,retrim,0.0,0.0,0.0,6
5,mischaracteriz,0.0,0.0,0.0,1
6,anotherrespondent,0.0,0.0,0.0,1
7,headed,0.02782587707042694,-0.04223937541246414,-0.07006525248289108,16
8,cautioned,-0.0036757942289114,0.01730303466320038,0.020978828892111778,33
9,joking,-0.010041341185569763,0.06508957594633102,0.07513091713190079,1
10,novelties,0.011548250913619995,0.07368935644626617,0.06214110553264618,1
11,midcal,0.0,0.0,0.0,23
12,claiming,-0.018958697095513344,-0.004968969151377678,0.013989727944135666,104
13,anew,-0.002273254096508026,0.04667661339044571,0.048949867486953735,32
14,bureaucrats,-0.030315574258565903,0.04500443860888481,0.07532001286745071,6
15,exaggerates,-0.04282626509666443,0.028745712712407112,0.07157197594642639,4
16,irreconcilability,0.0,0.0,0.0,1
17,noninvestment,0.0,0.0,0.0,1
18,quality,0.0845782607793808,0.08112267404794693,-0.003455584170296788,181
19,misnomer,-0.044288549572229385,0.04706035926938057,0.09134890884160995,3
20,falk,-0.019543876871466637,-0.006079172249883413,0.013464704155921936,1
21,signal,0.012486928142607212,0.021804429590702057,0.009317501448094845,23
22,fosters,0.0083746537566185,0.06841474026441574,0.06004008650779724,14
23,punt,-0.002433890476822853,-0.013136840425431728,-0.010702949948608875,1
24,explainits,0.0,0.0,0.0,1
25,explicit,-0.00036931782960891724,0.05767066404223442,0.05803998187184334,118
26,skating,0.04057648777961731,0.02572430483996868,-0.014852181077003479,2
27,conklin,-0.014010815881192684,-0.0015579917235299945,0.012452824041247368,6
28,content,0.04113532975316048,0.049361515790224075,0.008226185105741024,295
29,paterson,-0.00023552216589450836,-0.014223613776266575,-0.013988091610372066,9
30,resell,-0.01863168179988861,0.03208401799201965,0.050715699791908264,12
31,purposely,-0.0647193044424057,0.038724206387996674,0.10344351083040237,10
32,knobs,-0.024757174775004387,0.020369360223412514,0.0451265349984169,1
33,pullum,-0.027828235179185867,0.00109042355325073,0.028918659314513206,2
34,informants,-0.023631364107131958,0.00990314781665802,0.03353451192378998,2
35,stratton,-0.006612218916416168,-0.022667190060019493,-0.016054971143603325,1
36,lockheed,0.008863918483257294,-0.022051900625228882,-0.030915819108486176,2
37,ingesting,-0.04630554839968681,0.024652685970067978,0.07095823436975479,1
38,anticipates,0.020368359982967377,0.040589988231658936,0.02022162824869156,10
39,luring,-0.0027808547019958496,0.045294638723134995,0.048075493425130844,2
40,retiree,-4.11556102335453e-05,0.005431353114545345,0.005472508724778891,59
41,goldbergfell,0.0,0.0,0.0,1
42,nephew,0.01007571630179882,-0.02597982995212078,-0.0360555462539196,3
43,ifone,0.0,0.0,0.0,1
44,gate,0.01833338849246502,-0.023941902443766594,-0.04227529093623161,3
45,originalist,-0.03159593045711517,0.03021206147968769,0.06180799379944801,3
46,membership,0.026163222268223763,0.002990259323269129,-0.02317296341061592,47
47,suing,-0.04098330810666084,-0.03447484225034714,0.006508464924991131,31
48,gist,-0.01628081500530243,0.018250983208417892,0.03453179821372032,3
49,hijackings,-0.03916695713996887,0.003935711458325386,0.04310266673564911,2
50,redesignate,-0.014970939606428146,0.028693199157714844,0.04366413876414299,1
51,bostick,-0.008494183421134949,-0.008525939658284187,-3.175603342242539e-05,2
52,turnage,-0.007625469006597996,0.0043496303260326385,0.011975099332630634,1
53,gladstone,0.009043822064995766,-0.015053046867251396,-0.024096868932247162,17
54,brulotte,0.0,0.0,0.0,110
55,favouring,-0.0310940220952034,0.03974203020334244,0.07083605229854584,1
56,razors,-0.009282957762479782,0.02822050079703331,0.03750345855951309,1
57,everyinspection,0.0,0.0,0.0,1
58,concentration,0.0107402503490448,0.024767005816102028,0.014026755467057228,26
59,memoranda,-0.0219423845410347,0.011553420685231686,0.03349580615758896,5
60,twilight,0.00870237872004509,0.03340763598680496,0.024705257266759872,8
61,empanelled,-0.021958865225315094,0.02441541850566864,0.046374283730983734,1
62,wing,0.006106507033109665,-0.0370926596224308,-0.043199166655540466,4
63,acquiescing,-0.038013968616724014,0.050431493669748306,0.08844546228647232,1
64,exercis,0.0,0.0,0.0,12
65,veteransdoctrine,0.0,0.0,0.0,13
66,federal,0.010548871010541916,-0.0267338789999485,-0.03728275001049042,5492
67,reformatting,-0.02499428018927574,0.04905558004975319,0.07404986023902893,1
68,summarize,-0.00725652277469635,0.06559988111257553,0.07285640388727188,10
69,consolidated,0.03287876397371292,-0.017149006947875023,-0.05002777278423309,117
70,genre,0.04851565510034561,0.07197362184524536,0.0234579648822546,8
71,blaming,-0.08660539239645004,-0.004013040103018284,0.08259235322475433,4
72,prejudiced,-0.06313633918762207,0.05326680839061737,0.11640314757823944,52
73,gratuity,-0.023425010964274406,0.02085251919925213,0.044277530163526535,5
74,subsidiaries,0.0053611937910318375,-0.024056879803538322,-0.02941807359457016,3
75,sheahan,-0.005133935250341892,-0.00533821526914835,-0.0002042801643256098,1
76,lessees,-0.026347029954195023,0.031446512788534164,0.05779354274272919,10
77,republic,0.023756371811032295,-0.0219722967594862,-0.045728668570518494,148
78,version,0.05263368412852287,0.014074292033910751,-0.03855939209461212,183
79,proportionate,0.0018071793019771576,0.06361483782529831,0.06180765852332115,11
80,perino,-0.007274053059518337,0.01050401572138071,0.017778068780899048,1
