,word,totalValue,positive,negative,count
45,gate,0.026183152571320534,0.009802771732211113,-0.01638038083910942,3
46,originalist,-0.03170863166451454,-0.018944036215543747,0.01276459638029337,3
47,petty,-0.026177799329161644,0.017472488805651665,0.04365028813481331,7
48,membership,0.0440010130405426,0.059258539229631424,0.015257524326443672,47
49,gist,-0.02107664756476879,-0.004848847631365061,0.016227800399065018,3
50,hijackings,-0.055435068905353546,-0.006991175934672356,0.04844389483332634,2
51,redesignate,-0.0160259697586298,-0.025445859879255295,-0.009419890120625496,1
52,bostick,-0.015830963850021362,-0.04618378356099129,-0.030352819710969925,2
53,turnage,-0.016127627342939377,-0.04546358436346054,-0.029335957020521164,1
54,gladstone,0.019987106323242188,-0.011729824356734753,-0.031716931611299515,17
55,brulotte,0.0,0.0,0.0,110
56,favouring,-0.035263095051050186,0.01775389537215233,0.053016990423202515,1
57,heartless,-0.07610571384429932,0.043958716094493866,0.12006442993879318,2
58,razors,-0.020088830962777138,-0.009214011020958424,0.010874819941818714,1
59,everyinspection,0.0,0.0,0.0,1
60,concentration,0.01080956682562828,0.04912938177585602,0.03831981495022774,26
61,memoranda,-0.018298493698239326,-0.010958710685372353,0.007339783478528261,5
62,twilight,0.02138068713247776,0.04074444621801376,0.019363759085536003,8
63,empanelled,-0.031942371279001236,-0.03540949895977974,-0.003467128612101078,1
64,wing,0.014701152220368385,0.0065655638463795185,-0.00813558790832758,4
65,acquiescing,-0.04984952136874199,0.0017645589541643858,0.051614079624414444,1
66,exercis,0.0,0.0,0.0,12
67,veteransdoctrine,0.0,0.0,0.0,13
68,dragoon,-0.0044011082500219345,-0.027548346668481827,-0.023147238418459892,3
69,federal,0.01931234635412693,0.0419335700571537,0.02262122370302677,5492
70,reformatting,-0.029655788093805313,0.0050335535779595375,0.034689340740442276,1
71,summarize,-0.015283934772014618,0.0238509364426136,0.03913487121462822,10
72,consolidated,0.047036539763212204,-1.219799287355272e-06,-0.0470377579331398,117
73,genre,0.057358358055353165,0.08423160761594772,0.02687324956059456,8
74,prejudiced,-0.07559582591056824,0.03241444006562233,0.10801026225090027,52
75,gratuity,-0.026401452720165253,-0.006623458117246628,0.019777994602918625,5
76,subsidiaries,0.005196215584874153,-0.015177059918642044,-0.020373275503516197,3
77,sheahan,-0.017447255551815033,-0.03936071693897247,-0.02191346138715744,1
78,lessees,-0.029215823858976364,-0.0060431379824876785,0.023172685876488686,10
79,republic,0.03470942750573158,0.03842492774128914,0.0037154988385736942,148
80,version,0.06031015142798424,0.05224056914448738,-0.008069582283496857,183
81,proportionate,-0.004575144499540329,0.03523794189095497,0.0398130863904953,11
82,perino,-0.009691421873867512,0.012924055568873882,0.022615477442741394,1
83,underwear,-0.0010857637971639633,0.02553797885775566,0.026623742654919624,2
84,nowak,-0.03819557651877403,-0.02606126479804516,0.012134311720728874,1
85,penetration,-0.01654301956295967,0.015312637202441692,0.03185565769672394,1
86,yaakov,-0.02864942140877247,-0.040268752723932266,-0.011619331315159798,2
87,impound,-0.05540220066905022,-0.024011999368667603,0.031390201300382614,1
88,uncertified,-0.04201989620923996,-0.005846282467246056,0.03617361560463905,2
89,grotesque,-0.06708981096744537,0.04651028290390968,0.11360009759664536,4
90,pentothal,-0.0321221761405468,-0.015090585686266422,0.017031589522957802,1
91,vocation,0.014827065169811249,0.060781486332416534,0.045954421162605286,1
92,goebel,-0.020154258236289024,-0.019593795761466026,0.0005604628822766244,8
93,bouaphakeo,0.0,0.0,0.0,2
94,truthfulness,-0.019581858068704605,0.04788338765501976,0.06746524572372437,2
95,consultations,0.039796747267246246,0.041490115225315094,0.0016933688893914223,5
96,reputations,0.0019988901913166046,0.06426737457513809,0.06226848438382149,1
97,ibarra,-0.022339370101690292,-0.032317932695150375,-0.009978561662137508,2
98,shaughnessy,-0.007091714069247246,-0.023110192269086838,-0.016018478199839592,10
99,unwisely,-0.046448782086372375,0.010212418623268604,0.056661199778318405,2
100,scrapped,-0.02453901432454586,0.00280840159393847,0.027347415685653687,1
101,strain,-0.011056168004870415,0.025615578517317772,0.03667174652218819,6
102,rue,0.003249945119023323,-0.019903482869267464,-0.023153427988290787,2
103,gym,0.033132825046777725,0.030783291906118393,-0.002349534071981907,2
104,satellite,0.02998165413737297,0.01604592613875866,-0.013935727067291737,4
105,neurocognitive,-0.04019618034362793,-0.041650865226984024,-0.0014546860475093126,1
106,theorists,-0.01823769137263298,0.023808147758245468,0.04204583913087845,3
107,impounds,-0.03183078020811081,-0.011865781620144844,0.019964998587965965,1
108,sonotone,0.0,0.0,0.0,4
109,hopkins,0.03154806047677994,0.00047327231732197106,-0.03107478842139244,5
110,claimant,-0.023694196715950966,0.007215842138975859,0.030910039320588112,123
